date,course_id,n_partants,handicap,gap_confiance,rang_modele_gagnant,rang_marche_gagnant,erreur_modele,corrigee_marche,faible_confiance
2026-08-29,2026-08-29_TARBES_R3C1,10,0,0.2354,4,1,1,1,0
2026-08-29,2026-08-29_TARBES_R3C2,11,0,0.1066,1,5,0,0,0
2026-08-29,2026-08-29_TARBES_R3C3,10,0,0.4252,1,1,0,0,0
2026-08-29,2026-08-29_TARBES_R3C4,7,0,0.0636,2,4,1,0,1
2026-08-29,2026-08-29_TARBES_R3C5,8,1,0.2649,1,1,0,0,0
2026-08-29,2026-08-29_CAVAILLON_R8C1,11,0,0.5004,1,1,0,0,0
2026-08-29,2026-08-29_TARBES_R3C6,12,0,0.2757,3,1,1,1,0
2026-08-29,2026-08-29_TARBES_R3C7,13,1,0.6199,12,5,1,0,0
2026-08-29,2026-08-29_CAVAILLON_R8C3,4,0,0.2823,2,3,1,0,0
2026-08-29,2026-08-29_TARBES_R3C8,13,1,0.1021,9,9,1,0,0
2026-08-29,2026-08-29_CLAIREFONTAINE_R4C1,16,1,0.2587,7,3,1,0,0
2026-08-29,2026-08-29_CAVAILLON_R8C5,7,0,0.0322,4,1,1,1,1
2026-08-29,2026-08-29_CLAIREFONTAINE_R4C2,16,1,0.1853,5,9,1,0,0
2026-08-29,2026-08-29_CAVAILLON_R8C7,8,0,0.7152,1,2,0,0,0
2026-08-29,2026-08-29_CLAIREFONTAINE_R4C3,15,1,0.0689,2,1,1,1,1
2026-08-29,2026-08-29_CLAIREFONTAINE_R4C4,10,0,0.2582,2,6,1,0,0
2026-08-29,2026-08-29_CLAIREFONTAINE_R4C5,10,0,0.0939,3,5,1,0,1
2026-08-29,2026-08-29_CLAIREFONTAINE_R4C6,9,1,0.0519,3,1,1,1,1
2026-08-29,2026-08-29_CLAIREFONTAINE_R4C7,8,0,0.0217,3,3,1,0,1
2026-08-29,2026-08-29_CLAIREFONTAINE_R4C8,9,1,0.3203,4,4,1,0,0
